0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:00:12 -0300] "GET /Loja/index.jsp/listagemPromocao.jsp HTTP/1.1" 200 1291
127.0.0.1 - - [08/Aug/2023:00:00:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:29 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:00:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:29 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:00:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:29 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [08/Aug/2023:00:00:29 -0300] "GET /manager/text/list HTTP/1.1" 200 298
127.0.0.1 - - [08/Aug/2023:00:00:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:29 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:00:40 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:40 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:00:40 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:40 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:00:40 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:40 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [08/Aug/2023:00:00:40 -0300] "GET /manager/text/list HTTP/1.1" 200 298
127.0.0.1 - - [08/Aug/2023:00:00:40 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:00:40 -0300] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:00:50 -0300] "GET /Loja/index.jsp/telausuario.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:00:51 -0300] "GET /Loja/index.jsp/promocoes.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:00:53 -0300] "GET /Loja/index.jsp/inserirPromocao.jsp HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:01:03 -0300] "POST /Loja/index.jsp/PromocaoController?operacao=5 HTTP/1.1" 500 1375
127.0.0.1 - - [08/Aug/2023:00:01:17 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:17 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:01:17 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:17 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:01:17 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:17 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [08/Aug/2023:00:01:17 -0300] "GET /manager/text/list HTTP/1.1" 200 298
127.0.0.1 - - [08/Aug/2023:00:01:17 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:17 -0300] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:01:29 -0300] "GET /Loja/index.jsp/inserirPromocao.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:01:41 -0300] "POST /Loja/index.jsp/PromocaoController?operacao=5 HTTP/1.1" 500 1375
127.0.0.1 - - [08/Aug/2023:00:01:56 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:56 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:01:56 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:56 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:01:56 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:01:56 -0300] "GET /manager/text/ HTTP/1.1" 200 39
